batter,season,balls_faced,runs_scored,fours,sixes,dot_balls,powerplay_runs,middle_runs,death_runs,powerplay_balls,middle_balls,death_balls,times_dismissed,matches,strike_rate,average,boundary_pct,death_strike_rate
YK Pathan,2009/10,201,333,22,24,67,2,295,36,9,181,11,10,14,165.67,33.30,22.89,327.27
YK Pathan,2011,201,283,24,13,68,4,171,108,9,126,66,9,11,140.80,31.44,18.41,163.64
YK Pathan,2012,169,194,10,7,57,1,63,130,5,61,103,10,16,114.79,19.40,10.06,126.21
YK Pathan,2013,240,332,30,15,89,61,176,95,45,129,66,11,16,138.33,30.18,18.75,143.94
YK Pathan,2014,165,268,15,20,53,12,183,73,8,113,44,9,12,162.42,29.78,21.21,165.91
YK Pathan,2015,231,312,29,12,79,14,173,125,13,141,77,7,12,135.06,44.57,17.75,162.34
YK Pathan,2016,248,361,33,13,66,49,169,143,25,140,83,5,13,145.56,72.20,18.55,172.29
YK Pathan,2017,115,143,9,6,42,21,86,36,12,79,24,8,11,124.35,17.88,13.04,150.00
A Ashish Reddy,2012,29,35,3,1,12,0,10,25,0,8,21,4,5,120.69,8.75,13.79,119.05
A Ashish Reddy,2013,89,125,8,5,24,5,6,114,6,5,78,6,10,140.45,20.83,14.61,146.15
A Ashish Reddy,2015,46,73,3,5,13,0,14,59,0,12,34,3,5,158.70,24.33,17.39,173.53
A Ashish Reddy,2016,29,47,2,4,9,0,31,16,0,16,13,2,3,162.07,23.50,20.69,123.08
A Badoni,2022,130,161,11,7,48,1,59,101,6,58,66,8,11,123.85,20.13,13.85,153.03
A Badoni,2023,172,238,13,12,56,8,87,143,15,72,85,9,12,138.37,26.44,14.53,168.24
A Badoni,2024,171,235,22,5,47,9,90,136,16,71,84,8,12,137.43,29.38,15.79,161.90
A Chandila,2012,1,0,0,0,1,0,0,0,0,0,1,0,1,0.00,0.00,0.00,0.00
A Chandila,2013,6,4,0,0,2,0,0,4,0,0,6,0,1,66.67,4.00,0.00,66.67
A Chopra,2007/08,52,42,5,0,27,23,18,1,35,15,2,4,5,80.77,10.50,9.62,50.00
A Chopra,2009,19,11,2,0,14,4,7,0,4,15,0,1,1,57.89,11.00,10.53,0.00
A Choudhary,2017,20,25,1,1,4,0,0,25,0,0,20,1,3,125.00,25.00,10.00,125.00
A Dananjaya,2018,5,4,0,0,2,0,0,4,0,0,5,0,1,80.00,4.00,0.00,80.00
A Flintoff,2009,53,62,5,2,20,14,23,25,13,23,17,2,3,116.98,31.00,13.21,147.06
A Kamboj,2024,2,2,0,0,0,0,0,2,0,0,2,0,1,100.00,2.00,0.00,100.00
A Kumble,2007/08,17,13,1,0,8,0,0,13,0,0,17,1,4,76.47,13.00,5.88,76.47
A Kumble,2009,19,16,2,0,9,0,1,15,0,5,14,1,6,84.21,16.00,10.53,107.14
A Kumble,2009/10,11,6,0,0,5,0,0,6,0,0,11,0,5,54.55,6.00,0.00,54.55
A Manohar,2022,75,108,14,3,26,12,47,49,12,31,32,6,7,144.00,18.00,22.67,153.13
A Manohar,2023,83,114,6,7,25,0,58,56,0,52,31,6,6,137.35,19.00,15.66,180.65
A Manohar,2024,16,9,1,0,11,0,9,0,6,10,0,2,2,56.25,4.50,6.25,0.00
A Mishra,2007/08,42,37,3,0,16,0,31,6,0,31,11,3,3,88.10,12.33,7.14,54.55
A Mishra,2009,20,26,2,2,11,0,0,26,0,0,20,2,5,130.00,13.00,20.00,130.00
A Mishra,2009/10,51,39,1,0,17,0,13,26,0,23,28,4,7,76.47,9.75,1.96,92.86
A Mishra,2011,49,68,9,1,16,0,1,67,0,1,48,4,9,138.78,17.00,20.41,139.58
A Mishra,2012,20,16,1,0,8,0,0,16,0,0,20,3,5,80.00,5.33,5.00,80.00
A Mishra,2013,96,89,9,0,40,1,51,37,5,61,30,3,6,92.71,29.67,9.38,123.33
A Mishra,2014,7,4,0,0,3,0,0,4,0,0,7,1,2,57.14,4.00,0.00,57.14
A Mishra,2015,12,8,0,0,5,0,2,6,0,4,8,2,4,66.67,4.00,0.00,75.00
A Mishra,2016,14,4,0,0,10,0,4,0,0,8,6,2,2,28.57,2.00,0.00,0.00
A Mishra,2017,52,49,2,2,22,0,10,39,0,17,35,1,6,94.23,49.00,7.69,111.43
A Mishra,2018,2,1,0,0,1,0,0,1,0,0,2,0,1,50.00,1.00,0.00,50.00
A Mishra,2019,24,21,2,0,11,0,2,19,0,6,18,2,4,87.50,10.50,8.33,105.56
A Mishra,2023,30,19,2,0,17,0,6,13,0,13,17,1,1,63.33,19.00,6.67,76.47
A Mithun,2009/10,4,5,1,0,2,0,0,5,0,0,4,1,1,125.00,5.00,25.00,125.00
A Mithun,2011,20,27,3,1,8,0,15,12,0,12,8,3,4,135.00,9.00,20.00,150.00
A Mithun,2013,2,2,0,0,1,0,0,2,0,0,2,1,1,100.00,2.00,0.00,100.00
A Mukund,2007/08,1,0,0,0,1,0,0,0,0,0,1,1,1,0.00,0.00,0.00,0.00
A Mukund,2013,21,19,1,0,7,14,5,0,15,6,0,1,1,90.48,19.00,4.76,0.00
A Nehra,2007/08,13,3,0,0,10,0,0,3,0,0,13,0,3,23.08,3.00,0.00,23.08
A Nehra,2009,1,1,0,0,0,0,0,1,0,0,1,0,1,100.00,1.00,0.00,100.00
A Nehra,2009/10,20,23,2,1,8,0,0,23,0,0,20,1,2,115.00,23.00,15.00,115.00
A Nehra,2012,12,11,1,0,5,0,0,11,0,0,12,0,2,91.67,11.00,8.33,91.67
A Nehra,2013,8,1,0,0,7,0,0,1,0,0,8,4,4,12.50,0.25,0.00,12.50
A Nehra,2015,7,1,0,0,6,0,0,1,0,0,7,1,4,14.29,1.00,0.00,14.29
A Nehra,2016,1,1,0,0,0,0,0,1,0,0,1,0,1,100.00,1.00,0.00,100.00
A Nortje,2020/21,6,7,0,0,3,0,0,7,0,0,6,1,3,116.67,7.00,0.00,116.67
A Nortje,2022,6,1,0,0,5,0,0,1,0,0,6,0,1,16.67,1.00,0.00,16.67
A Nortje,2023,29,37,6,0,10,0,0,37,0,0,29,2,7,127.59,18.50,20.69,127.59
A Nortje,2024,8,4,0,0,5,0,0,4,0,0,8,2,2,50.00,2.00,0.00,50.00
A Raghuvanshi,2024,105,163,16,8,34,78,85,0,49,55,1,7,7,155.24,23.29,22.86,0.00
A Singh,2009,3,1,0,0,2,0,0,1,0,0,3,1,2,33.33,1.00,0.00,33.33
A Singh,2011,4,1,0,0,3,0,0,1,0,2,2,2,2,25.00,0.50,0.00,50.00
A Singh,2012,3,0,0,0,2,0,0,0,0,0,3,1,1,0.00,0.00,0.00,0.00
A Symonds,2007/08,105,161,15,9,40,23,91,47,19,65,21,2,3,153.33,80.50,22.86,223.81
A Symonds,2009,166,249,15,11,48,19,172,58,13,121,32,7,8,150.00,35.57,15.66,181.25
A Symonds,2009/10,341,429,35,18,129,29,294,106,46,227,68,12,16,125.81,35.75,15.54,155.88
A Symonds,2011,138,135,9,3,56,1,52,82,4,71,63,3,9,97.83,45.00,8.70,130.16
A Tomar,2022,8,4,1,0,7,4,0,0,8,0,0,1,1,50.00,4.00,12.50,0.00
A Uniyal,2009/10,7,4,0,0,3,0,0,4,0,0,7,1,2,57.14,4.00,0.00,57.14
A Zampa,2016,1,0,0,0,1,0,0,0,0,0,1,1,1,0.00,0.00,0.00,0.00
A Zampa,2017,7,5,1,0,5,0,5,0,0,5,2,1,1,71.43,5.00,14.29,0.00
A Zampa,2023,16,10,0,0,6,0,4,6,0,9,7,3,3,62.50,3.33,0.00,85.71
AA Bilakhia,2009,81,67,5,0,37,23,10,34,32,20,29,4,6,82.72,16.75,6.17,117.24
AA Bilakhia,2009/10,4,2,0,0,2,0,0,2,0,0,4,1,1,50.00,2.00,0.00,50.00
AA Chavan,2011,3,1,0,0,2,0,1,0,0,3,0,0,1,33.33,1.00,0.00,0.00
AA Chavan,2012,8,11,2,0,3,0,0,11,0,0,8,1,2,137.50,11.00,25.00,137.50
AA Jhunjhunwala,2009/10,166,183,16,4,64,19,104,60,26,104,36,8,10,110.24,22.88,12.05,166.67
AA Jhunjhunwala,2011,18,10,2,0,13,5,5,0,8,7,3,2,2,55.56,5.00,11.11,0.00
AA Jhunjhunwala,2012,26,24,1,1,12,0,15,9,0,14,12,2,3,92.31,12.00,7.69,75.00
AA Kulkarni,2024,8,9,2,0,5,9,0,0,8,0,0,2,2,112.50,4.50,25.00,0.00
AA Noffke,2007/08,10,9,1,0,4,0,9,0,0,10,0,1,1,90.00,9.00,10.00,0.00
AB Agarkar,2007/08,46,54,5,2,20,20,22,12,13,20,13,4,6,117.39,13.50,15.22,92.31
AB Agarkar,2009,57,66,3,3,20,0,9,57,0,20,37,2,5,115.79,33.00,10.53,154.05
AB Agarkar,2009/10,29,40,4,0,6,0,0,40,0,0,29,1,4,137.93,40.00,13.79,137.93
AB Agarkar,2011,6,7,1,0,2,0,0,7,0,0,6,0,1,116.67,7.00,16.67,116.67
AB Agarkar,2013,16,12,0,0,5,0,3,9,0,7,9,1,2,75.00,12.00,0.00,100.00
AB Barath,2009/10,42,42,5,1,21,18,22,2,14,23,5,2,3,100.00,21.00,14.29,40.00
AB de Villiers,2007/08,98,95,5,1,39,28,56,11,30,59,9,4,6,96.94,23.75,6.12,122.22
AB de Villiers,2009,355,465,39,12,108,61,228,176,63,211,81,9,13,130.99,51.67,14.37,217.28
AB de Villiers,2009/10,119,111,7,0,43,48,61,2,49,67,3,5,7,93.28,22.20,5.88,66.67
AB de Villiers,2011,243,312,21,14,83,33,162,117,36,143,64,8,13,128.40,39.00,14.40,182.81
AB de Villiers,2012,198,319,26,15,54,9,131,179,7,108,83,8,13,161.11,39.88,20.71,215.66
AB de Villiers,2013,223,373,34,17,59,28,159,186,12,133,78,10,14,167.26,37.30,22.87,238.46
AB de Villiers,2014,249,395,26,24,74,17,190,188,15,144,90,11,13,158.63,35.91,20.08,208.89
AB de Villiers,2015,293,513,60,22,92,84,297,132,72,164,57,8,14,175.09,64.13,27.99,231.58
AB de Villiers,2016,407,687,57,37,104,143,391,153,97,245,65,13,16,168.80,52.85,23.10,235.38
AB de Villiers,2017,163,216,12,16,68,71,86,59,61,82,20,7,9,132.52,30.86,17.18,295.00
AB de Villiers,2018,275,480,39,30,77,87,338,55,54,197,24,9,11,174.55,53.33,25.09,229.17
AB de Villiers,2019,287,442,31,26,92,83,213,146,69,163,55,10,13,154.01,44.20,19.86,265.45
AB de Villiers,2020/21,290,460,34,23,78,43,159,258,36,138,116,10,14,158.62,46.00,19.66,222.41
AB de Villiers,2021,211,313,23,16,68,6,101,206,13,105,93,10,14,148.34,31.30,18.48,221.51
AB Dinda,2007/08,4,2,0,0,2,0,1,1,0,1,3,1,2,50.00,2.00,0.00,33.33
AB Dinda,2009,3,2,0,0,2,0,0,2,0,0,3,2,2,66.67,1.00,0.00,66.67
