batter,career_runs,career_sr,career_avg,career_boundary_pct,career_death_sr,seasons,consistency_cv,impact_pct,player_value_index
B Sai Sudharsan,1034,139.17,49.24,17.09,201.18,3,0.63,68.00,81.02
T Stubbs,405,173.82,45.00,22.32,238.94,3,0.99,35.29,80.28
TM Head,772,173.87,38.60,26.13,178.57,3,1.03,48.00,79.65
PD Salt,653,175.54,34.37,29.03,184.21,2,0.96,42.86,79.64
H Klaasen,993,168.31,38.19,20.34,192.82,4,0.80,46.88,77.75
DP Conway,924,141.28,48.63,19.88,153.57,2,0.79,63.64,77.58
RM Patidar,799,158.85,34.74,20.87,240.00,3,0.77,54.17,77.00
AD Russell,2488,174.84,30.34,26.70,194.42,12,0.87,35.58,76.80
CH Gayle,4997,149.34,39.98,22.92,204.58,13,0.94,43.97,76.54
C Green,707,153.70,41.59,20.43,198.06,2,0.95,42.86,76.18
Tilak Varma,1156,146.33,41.29,18.73,180.00,3,0.64,52.63,75.76
AB de Villiers,5181,151.89,42.47,19.55,222.91,14,0.91,38.82,75.59
ML Hayden,1107,137.34,39.54,20.47,192.00,3,0.76,53.13,75.02
YBK Jaiswal,1607,150.61,32.80,24.65,213.33,5,0.92,44.23,74.76
Shashank Singh,423,161.45,38.45,22.14,195.70,2,0.90,26.32,74.50
RR Pant,3297,148.85,36.23,20.41,203.30,8,0.81,45.45,74.47
HM Amla,577,141.77,44.38,19.90,234.62,2,1.04,37.50,74.28
JC Buttler,3583,147.45,38.95,21.28,197.35,9,0.93,38.68,74.06
DA Warner,6567,139.66,41.56,19.12,176.90,15,0.81,52.17,73.98
RD Gaikwad,2380,136.86,43.27,17.71,172.48,5,0.84,55.38,73.55
KL Rahul,4689,134.55,45.52,16.84,175.29,11,0.77,49.18,73.36
TH David,659,170.28,29.95,21.71,191.49,4,0.80,28.57,72.51
N Pooran,1769,162.00,32.16,21.98,169.60,6,0.87,41.67,72.33
V Sehwag,2728,155.44,28.72,25.07,208.57,8,1.05,33.65,71.76
F du Plessis,4571,136.37,38.41,17.54,180.89,12,0.76,47.83,71.29
