bowler,season,balls_bowled,runs_conceded,wickets,dot_balls,powerplay_wickets,middle_wickets,death_wickets,death_runs_conceded,death_balls,matches,economy,bowling_average,bowling_sr,death_economy
YK Pathan,2016,36,33,1,14,0,1,0,0,0,4,5.50,33.00,36.00,0.00
YK Pathan,2017,24,41,1,8,0,1,0,0,0,4,10.25,41.00,24.00,0.00
YK Pathan,2018,12,14,1,2,0,1,0,0,0,1,7.00,14.00,12.00,0.00
YK Pathan,2019,6,8,0,1,0,0,0,0,0,1,8.00,0.00,0.00,0.00
YS Chahal,2013,24,35,0,8,0,0,0,13,6,1,8.75,0.00,0.00,13.00
YS Chahal,2014,330,389,12,115,0,11,1,24,24,14,7.07,32.42,27.50,6.00
YS Chahal,2015,281,416,24,90,3,15,6,99,60,14,8.88,17.33,11.71,9.90
YS Chahal,2016,295,409,22,100,4,14,4,71,43,13,8.32,18.59,13.41,9.91
YS Chahal,2017,261,351,14,92,2,10,2,43,24,13,8.07,25.07,18.64,10.75
YS Chahal,2018,300,374,12,120,4,6,2,63,30,14,7.48,31.17,25.00,12.60
YS Chahal,2019,296,394,18,113,2,10,6,63,48,14,7.99,21.89,16.44,7.88
YS Chahal,2020/21,343,414,22,112,1,16,5,108,66,15,7.24,18.82,15.59,9.82
YS Chahal,2021,318,381,19,123,1,13,5,44,36,15,7.19,20.05,16.74,7.33
YS Chahal,2022,408,536,29,128,0,15,14,157,108,17,7.88,18.48,14.07,8.72
YS Chahal,2023,317,434,22,95,1,9,12,112,84,14,8.21,19.73,14.41,8.00
YS Chahal,2024,348,548,19,98,0,13,6,170,84,15,9.45,28.84,18.32,12.14
Yudhvir Singh,2023,48,73,3,23,3,0,0,0,0,3,9.13,24.33,16.00,0.00
Yudhvir Singh,2024,24,52,1,5,0,0,1,36,18,2,13.00,52.00,24.00,12.00
Yuvraj Singh,2007/08,54,85,3,12,0,1,2,4,6,6,9.44,28.33,18.00,4.00
Yuvraj Singh,2009,120,142,6,48,0,6,0,12,18,9,7.10,23.67,20.00,4.00
Yuvraj Singh,2009/10,138,155,6,45,0,4,2,32,24,10,6.74,25.83,23.00,8.00
A Ashish Reddy,2012,163,238,11,55,0,3,8,124,73,9,8.76,21.64,14.82,10.19
A Ashish Reddy,2013,40,71,3,10,0,2,1,25,10,5,10.65,23.67,13.33,15.00
A Ashish Reddy,2015,36,51,4,9,0,2,2,20,18,4,8.50,12.75,9.00,6.67
A Ashish Reddy,2016,23,40,1,5,0,1,0,0,0,2,10.43,40.00,23.00,0.00
A Badoni,2022,12,12,2,3,0,2,0,0,0,2,6.00,6.00,6.00,0.00
A Badoni,2023,1,0,0,1,0,0,0,0,0,1,0.00,0.00,0.00,0.00
A Badoni,2024,12,25,0,1,0,0,0,6,6,2,12.50,0.00,0.00,6.00
A Chandila,2012,84,87,5,39,4,1,0,0,0,4,6.21,17.40,16.80,0.00
A Chandila,2013,150,158,6,64,6,0,0,6,6,8,6.32,26.33,25.00,6.00
A Choudhary,2017,101,144,5,42,3,1,1,40,24,5,8.55,28.80,20.20,10.00
A Dananjaya,2018,24,47,0,6,0,0,0,0,0,1,11.75,0.00,0.00,0.00
A Flintoff,2009,66,106,2,20,0,1,1,59,24,3,9.64,53.00,33.00,14.75
A Kamboj,2024,60,115,2,19,1,1,0,0,0,3,11.50,57.50,30.00,0.00
A Kumble,2007/08,230,314,8,85,0,7,1,56,26,10,8.19,39.25,28.75,12.92
A Kumble,2009,355,353,22,138,2,11,9,79,67,16,5.97,16.05,16.14,7.07
A Kumble,2009/10,380,422,19,151,1,10,8,82,74,16,6.66,22.21,20.00,6.65
A Mishra,2007/08,119,140,11,42,1,6,4,20,18,6,7.06,12.73,10.82,6.67
A Mishra,2009,253,300,14,98,0,11,3,39,18,11,7.11,21.43,18.07,13.00
A Mishra,2009/10,318,371,20,131,5,11,4,75,48,14,7.00,18.55,15.90,9.38
A Mishra,2011,320,369,19,130,0,11,8,126,92,14,6.92,19.42,16.84,8.22
A Mishra,2012,282,381,13,89,0,12,1,66,42,14,8.11,29.31,21.69,9.43
A Mishra,2013,372,395,24,151,0,14,10,123,84,17,6.37,16.46,15.50,8.79
A Mishra,2014,225,342,8,66,0,5,3,87,39,10,9.12,42.75,28.13,13.38
A Mishra,2015,241,312,9,75,0,7,2,97,55,12,7.77,34.67,26.78,10.58
A Mishra,2016,276,350,14,93,0,13,1,63,36,14,7.61,25.00,19.71,10.50
A Mishra,2017,233,345,10,78,0,8,2,11,11,14,8.88,34.50,23.30,6.00
A Mishra,2018,222,265,13,73,0,11,2,35,24,10,7.16,20.38,17.08,8.75
A Mishra,2019,240,271,11,82,0,10,1,33,18,11,6.78,24.64,21.82,11.00
A Mishra,2020/21,60,72,3,17,0,3,0,0,0,3,7.20,24.00,20.00,0.00
A Mishra,2021,84,109,6,25,0,5,1,16,12,4,7.79,18.17,14.00,8.00
A Mishra,2023,114,151,7,30,0,4,3,40,24,7,7.95,21.57,16.29,10.00
A Mishra,2024,12,20,1,5,0,1,0,0,0,1,10.00,20.00,12.00,0.00
A Mithun,2009,24,42,0,7,0,0,0,14,6,1,10.50,0.00,0.00,14.00
A Mithun,2009/10,18,39,1,2,1,0,0,19,6,1,13.00,39.00,18.00,19.00
A Mithun,2011,204,325,6,67,0,2,4,91,54,12,9.56,54.17,34.00,10.11
A Mithun,2012,18,34,0,5,0,0,0,16,6,1,11.33,0.00,0.00,16.00
A Mithun,2013,24,37,1,9,0,0,1,15,6,1,9.25,37.00,24.00,15.00
A Nehra,2007/08,269,357,14,120,6,3,5,98,59,14,7.96,25.50,19.21,9.97
