bowler,career_wickets,career_balls,career_economy,career_bowling_avg,career_bowling_sr,career_death_economy,career_dots,dot_ball_pct,seasons,economy_cv,bowler_value_index
SL Malinga,188,2828,7.40,18.54,15.04,8.20,1144,40.45,9,0.31,56.13
Sohail Tanvir,24,247,6.68,11.46,10.29,7.11,121,48.99,1,,55.07
JJ Bumrah,182,3075,7.49,21.10,16.90,8.50,1228,39.93,11,0.33,54.91
SP Narine,200,4081,6.87,23.36,20.41,7.56,1569,38.45,13,0.32,54.85
DW Steyn,105,2182,7.10,24.60,20.78,8.47,1019,46.70,11,0.39,54.65
A Nehra,121,1908,7.98,20.97,15.77,9.04,798,41.82,9,0.31,53.65
DE Bollinger,43,576,7.46,16.65,13.40,7.62,254,44.10,3,0.27,53.44
Z Khan,119,2200,7.80,24.03,18.49,9.35,873,39.68,10,0.27,52.52
Rashid Khan,157,2872,6.98,21.27,18.29,8.15,1060,36.91,8,0.36,52.32
B Kumar,195,3910,7.75,25.90,20.05,9.43,1632,41.74,14,0.30,51.80
M Morkel,88,1629,7.87,24.27,18.51,9.28,708,43.46,8,0.26,51.71
NM Coulter-Nile,52,857,7.88,21.63,16.48,9.63,368,42.94,8,0.33,51.69
Harbhajan Singh,161,3416,7.20,25.47,21.22,8.40,1263,36.97,13,0.35,51.67
CH Morris,107,1726,8.26,22.21,16.13,8.91,668,38.70,8,0.28,51.36
Iqbal Abdulla,45,920,7.34,25.00,20.44,8.77,331,35.98,9,0.24,51.17
MM Ali,40,758,7.12,22.50,18.95,7.58,266,35.09,7,0.33,51.15
S Gopal,53,991,8.22,25.62,18.70,6.87,317,31.99,9,0.34,50.99
YS Chahal,213,3521,7.98,21.98,16.53,9.46,1194,33.91,12,0.33,50.92
A Mishra,183,3371,7.46,22.91,18.42,9.57,1185,35.15,16,0.36,50.67
DJ Bravo,207,3120,8.53,21.43,15.07,9.52,998,31.99,13,0.29,50.48
Sandeep Sharma,153,2822,7.99,24.56,18.44,10.17,1122,39.76,12,0.33,50.41
Imran Tahir,86,1316,7.88,20.10,15.30,9.21,437,33.21,8,0.31,50.29
PP Chawla,201,3850,8.07,25.77,19.15,8.88,1325,34.42,16,0.31,50.17
R Ashwin,198,4524,7.21,27.45,22.85,8.23,1552,34.31,15,0.34,50.09
Mohammed Shami,144,2435,8.59,24.21,16.91,10.63,984,40.41,10,0.31,49.92
SR Watson,107,2029,8.11,25.63,18.96,9.99,803,39.58,10,0.34,49.91
TA Boult,128,2341,8.42,25.67,18.29,10.94,986,42.12,10,0.27,49.83
MM Patel,82,1355,7.67,21.13,16.52,10.66,590,43.54,7,0.33,49.81
A Chandila,11,234,6.28,22.27,21.27,6.00,103,44.02,2,,49.64
JA Morkel,96,1723,8.39,25.09,17.95,9.45,646,37.49,9,0.31,49.43
IK Pathan,99,2043,7.96,27.38,20.64,9.52,835,40.87,9,0.32,49.37
RP Singh,100,1775,8.17,24.17,17.75,9.53,744,41.92,7,0.30,49.37
MF Maharoof,33,420,7.60,16.12,12.73,9.12,165,39.29,3,0.34,49.28
K Rabada,126,1829,8.70,21.05,14.52,10.00,717,39.20,7,0.27,49.21
R Vinay Kumar,127,2127,8.58,23.94,16.75,10.70,763,35.87,11,0.25,49.16
MM Sharma,147,2253,8.73,22.30,15.33,10.19,782,34.71,10,0.35,49.16
RJ Harris,47,832,7.82,23.09,17.70,9.50,364,43.75,5,0.26,49.13
HV Patel,151,2162,8.92,21.29,14.32,10.24,710,32.84,12,0.32,49.10
RE van der Merwe,25,443,6.98,20.60,17.72,8.40,148,33.41,5,0.28,49.07
DP Nannes,38,646,7.57,21.45,17.00,9.03,285,44.12,4,0.35,49.00
DS Kulkarni,91,1787,8.44,27.62,19.64,10.40,742,41.52,14,0.32,48.98
M Pathirana,38,451,8.21,16.24,11.87,8.80,160,35.48,3,0.23,48.97
M Muralitharan,67,1528,6.93,26.34,22.81,8.29,600,39.27,7,0.36,48.94
DL Chahar,79,1669,8.06,28.39,21.13,9.31,708,42.42,8,0.29,48.91
MJ Santner,16,366,7.02,26.75,22.88,5.67,134,36.61,5,0.45,48.73
Yuvraj Singh,39,869,7.53,27.97,22.28,8.39,258,29.69,10,0.29,48.66
S Badree,11,258,7.65,29.91,23.45,4.00,109,42.25,3,,48.65
BJ Hodge,18,234,7.95,17.22,13.00,7.67,75,32.05,5,,48.63
R Bhatia,82,1636,7.55,25.11,19.95,8.73,436,26.65,10,0.31,48.56
PP Ojha,99,1899,7.58,24.23,19.18,9.61,667,35.12,8,0.30,48.45
AB Dinda,82,1516,8.32,25.65,18.49,11.17,627,41.36,10,0.36,48.45
Harmeet Singh,31,549,8.16,24.10,17.71,8.28,201,36.61,5,0.25,48.07
R Tewatia,36,843,7.95,31.03,23.42,7.33,264,31.32,9,0.29,48.04
AR Patel,131,3105,7.39,29.19,23.70,8.93,1021,32.88,11,0.31,48.01
Shakib Al Hasan,71,1484,7.54,26.25,20.90,9.65,504,33.96,9,0.30,47.97
UT Yadav,163,3057,8.72,27.25,18.75,10.75,1186,38.80,14,0.29,47.96
A Kumble,49,965,6.77,22.22,19.69,7.80,374,38.76,3,0.36,47.89
AD Mascarenhas,19,308,7.11,19.21,16.21,9.69,124,40.26,5,,47.86
WD Parnell,40,723,8.03,24.20,18.08,8.75,296,40.94,5,0.34,47.85
