batter,match_id,season,venue,batting_team,innings_runs,balls_faced,fours,sixes,was_dismissed,strike_rate
AD Russell,1359483,2023,Eden Gardens,Kolkata Knight Riders,0,1,0,0,1,0.00
BJ Hodge,501229,2011,Nehru Stadium,Kochi Tuskers Kerala,0,2,0,0,1,0.00
A Nehra,597998,2013,Eden Gardens,Delhi Capitals,0,1,0,0,1,0.00
A Nehra,598006,2013,Wankhede Stadium,Delhi Capitals,1,5,0,0,1,20.00
AJ Finch,981007,2016,Green Park,Gujarat Lions,0,2,0,0,1,0.00
F Behardien,980999,2016,M Chinnaswamy Stadium,Punjab Kings,0,1,0,0,1,0.00
HH Pandya,829823,2015,Eden Gardens,Mumbai Indians,0,2,0,0,1,0.00
HM Amla,1082601,2017,Eden Gardens,Punjab Kings,25,27,4,0,1,92.59
K Goel,392186,2009,Kingsmead,Punjab Kings,0,7,0,0,1,0.00
KA Pollard,981007,2016,Green Park,Mumbai Indians,9,11,0,1,1,81.82
KD Karthik,980975,2016,Eden Gardens,Gujarat Lions,51,29,8,1,1,175.86
MJ Clarke,548353,2012,Eden Gardens,Pune Warriors,1,2,0,0,1,50.00
MP Stoinis,980963,2016,Eden Gardens,Punjab Kings,0,3,0,0,1,0.00
MR Marsh,1304115,2022,Wankhede Stadium,Delhi Capitals,0,1,0,0,1,0.00
AJ Tye,1136600,2018,Sawai Mansingh Stadium,Punjab Kings,1,1,0,0,0,100.00
AJ Tye,1136604,2018,Holkar Cricket Stadium,Punjab Kings,14,10,1,1,1,140.00
R Sathish,501221,2011,Wankhede Stadium,Mumbai Indians,0,7,0,0,1,0.00
AJ Tye,1136608,2018,Holkar Cricket Stadium,Punjab Kings,0,3,0,0,1,0.00
RE Levi,548308,2012,Wankhede Stadium,Mumbai Indians,0,2,0,0,1,0.00
RR Pant,1426285,2024,Eden Gardens,Delhi Capitals,27,20,2,1,1,135.00
RV Uthappa,1178404,2019,Eden Gardens,Kolkata Knight Riders,0,1,0,0,1,0.00
S Badrinath,598073,2013,Eden Gardens,Chennai Super Kings,0,3,0,0,1,0.00
S Dhawan,1359527,2023,Eden Gardens,Punjab Kings,57,47,9,1,1,121.28
AT Rayudu,548355,2012,Wankhede Stadium,Mumbai Indians,0,2,0,0,1,0.00
SE Marsh,501234,2011,Eden Gardens,Punjab Kings,5,7,1,0,1,71.43
AT Rayudu,548360,2012,Wankhede Stadium,Mumbai Indians,22,17,2,0,1,129.41
TH David,1359528,2023,Wankhede Stadium,Mumbai Indians,0,1,0,0,1,0.00
TM Dilshan,392189,2009,Kingsmead,Delhi Capitals,50,27,7,2,1,185.19
BJ Hodge,598063,2013,Wankhede Stadium,Rajasthan Royals,39,27,7,0,1,144.44
WP Saha,1312197,2022,Eden Gardens,Gujarat Titans,0,2,0,0,1,0.00
Yuvraj Singh,392183,2009,Newlands,Punjab Kings,16,11,0,2,1,145.45
C Green,1359543,2023,Wankhede Stadium,Mumbai Indians,100,47,8,8,0,212.77
A Ashish Reddy,548346,2012,Wankhede Stadium,Sunrisers Hyderabad,10,10,0,1,1,100.00
A Ashish Reddy,548352,2012,MA Chidambaram Stadium,Sunrisers Hyderabad,3,3,0,0,1,100.00
A Ashish Reddy,548359,2012,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,8,8,1,0,1,100.00
A Ashish Reddy,548373,2012,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,10,4,2,0,0,250.00
A Ashish Reddy,548376,2012,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,4,4,0,0,1,100.00
A Ashish Reddy,598000,2013,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,7,4,1,0,0,175.00
A Ashish Reddy,598004,2013,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,14,12,0,1,1,116.67
A Ashish Reddy,598010,2013,Arun Jaitley Stadium,Sunrisers Hyderabad,16,9,2,0,1,177.78
A Ashish Reddy,598013,2013,Eden Gardens,Sunrisers Hyderabad,4,5,0,0,1,80.00
A Ashish Reddy,598018,2013,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,19,15,0,1,0,126.67
A Ashish Reddy,598021,2013,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,7,7,1,0,0,100.00
A Ashish Reddy,598030,2013,MA Chidambaram Stadium,Sunrisers Hyderabad,36,16,2,3,0,225.00
A Ashish Reddy,598032,2013,Sawai Mansingh Stadium,Sunrisers Hyderabad,14,11,1,0,1,127.27
A Ashish Reddy,598044,2013,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,5,6,1,0,1,83.33
A Ashish Reddy,598048,2013,M Chinnaswamy Stadium,Sunrisers Hyderabad,3,4,0,0,1,75.00
A Ashish Reddy,829727,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,13,9,0,1,0,144.44
A Ashish Reddy,829731,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,15,8,1,1,1,187.50
A Ashish Reddy,829759,2015,Punjab Cricket Association IS Bindra Stadium,Sunrisers Hyderabad,22,8,1,2,0,275.00
A Ashish Reddy,829773,2015,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,6,6,1,0,1,100.00
A Ashish Reddy,829815,2015,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,17,15,0,1,1,113.33
A Ashish Reddy,980907,2016,M Chinnaswamy Stadium,Sunrisers Hyderabad,32,18,2,3,1,177.78
A Ashish Reddy,980915,2016,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,13,8,0,1,1,162.50
A Ashish Reddy,980953,2016,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,2,3,0,0,0,66.67
A Badoni,1304050,2022,Wankhede Stadium,Lucknow Super Giants,54,41,4,3,1,131.71
A Badoni,1304053,2022,Brabourne Stadium,Lucknow Super Giants,19,9,0,2,0,211.11
A Badoni,1304058,2022,Dr DY Patil Sports Academy,Lucknow Super Giants,19,12,3,0,1,158.33
A Badoni,1304061,2022,Dr DY Patil Sports Academy,Lucknow Super Giants,10,3,1,1,0,333.33
A Badoni,1304066,2022,Wankhede Stadium,Lucknow Super Giants,5,7,0,0,1,71.43
A Badoni,1304077,2022,Dr DY Patil Sports Academy,Lucknow Super Giants,13,13,2,0,1,100.00
A Badoni,1304083,2022,Wankhede Stadium,Lucknow Super Giants,14,11,0,1,1,127.27
A Badoni,1304088,2022,Maharashtra Cricket Association Stadium,Lucknow Super Giants,4,4,0,0,1,100.00
A Badoni,1304099,2022,Maharashtra Cricket Association Stadium,Lucknow Super Giants,15,18,0,0,1,83.33
A Badoni,1304103,2022,Maharashtra Cricket Association Stadium,Lucknow Super Giants,8,11,1,0,1,72.73
A Badoni,1304109,2022,Brabourne Stadium,Lucknow Super Giants,0,1,0,0,1,0.00
A Badoni,1359477,2023,Ekana Cricket Stadium,Lucknow Super Giants,18,7,1,2,1,257.14
A Badoni,1359480,2023,MA Chidambaram Stadium,Lucknow Super Giants,23,18,0,0,1,127.78
A Badoni,1359489,2023,M Chinnaswamy Stadium,Lucknow Super Giants,30,24,4,0,1,125.00
A Badoni,1359495,2023,Ekana Cricket Stadium,Lucknow Super Giants,5,6,0,0,0,83.33
A Badoni,1359500,2023,Sawai Mansingh Stadium,Lucknow Super Giants,1,4,0,0,1,25.00
A Badoni,1359504,2023,Ekana Cricket Stadium,Lucknow Super Giants,8,6,0,0,0,133.33
A Badoni,1359512,2023,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants,43,24,3,3,1,179.17
A Badoni,1359517,2023,Ekana Cricket Stadium,Lucknow Super Giants,4,11,0,0,1,36.36
A Badoni,1359519,2023,Ekana Cricket Stadium,Lucknow Super Giants,59,33,2,4,0,178.79
A Badoni,1359525,2023,Narendra Modi Stadium,Lucknow Super Giants,21,11,1,2,1,190.91
A Badoni,1359542,2023,Eden Gardens,Lucknow Super Giants,25,21,2,1,1,119.05
A Badoni,1370351,2023,MA Chidambaram Stadium,Lucknow Super Giants,1,7,0,0,1,14.29
A Badoni,1422122,2024,Sawai Mansingh Stadium,Lucknow Super Giants,1,5,0,0,1,20.00
A Badoni,1422129,2024,Ekana Cricket Stadium,Lucknow Super Giants,8,10,0,0,1,80.00
A Badoni,1422133,2024,M Chinnaswamy Stadium,Lucknow Super Giants,0,3,0,0,1,0.00
A Badoni,1422139,2024,Ekana Cricket Stadium,Lucknow Super Giants,20,11,3,0,1,181.82
A Badoni,1426264,2024,Ekana Cricket Stadium,Lucknow Super Giants,55,35,5,1,0,157.14
A Badoni,1426266,2024,Eden Gardens,Lucknow Super Giants,29,27,2,1,1,107.41
A Badoni,1426282,2024,Ekana Cricket Stadium,Lucknow Super Giants,18,13,1,0,0,138.46
A Badoni,1426286,2024,Ekana Cricket Stadium,Lucknow Super Giants,6,6,1,0,1,100.00
A Badoni,1426292,2024,Ekana Cricket Stadium,Lucknow Super Giants,15,12,0,1,1,125.00
A Badoni,1426295,2024,Rajiv Gandhi International Stadium,Lucknow Super Giants,55,30,9,0,0,183.33
