match_id,season,city,venue,date,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,toss_winner_won,batting_first_team,chasing_team,first_innings_score,second_innings_score
336022,2007/08,Delhi,Feroz Shah Kotla,2008-05-17,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,runs,6,DPMD Jayawardene,0,Delhi Capitals,Punjab Kings,118,94
336008,2007/08,Mumbai,Dr DY Patil Sports Academy,2008-05-07,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,wickets,7,A Nehra,1,Rajasthan Royals,Mumbai Indians,103,104
392234,2009,Durban,Kingsmead,2009-05-20,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,24,M Muralitharan,1,Chennai Super Kings,Punjab Kings,116,92
1082616,2017,Rajkot,Saurashtra Cricket Association Stadium,2017-04-23,Gujarat Lions,Punjab Kings,Gujarat Lions,field,Punjab Kings,runs,26,HM Amla,0,Punjab Kings,Gujarat Lions,188,162
1082641,2017,Mumbai,Wankhede Stadium,2017-05-11,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,runs,7,WP Saha,0,Punjab Kings,Mumbai Indians,230,223
1359533,2023,Delhi,"Arun Jaitley Stadium, Delhi",2023-05-13,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,runs,31,P Simran Singh,0,Punjab Kings,Delhi Capitals,167,136
1426270,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2024-04-17,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6,RR Pant,1,Gujarat Titans,Delhi Capitals,89,92
733975,2014,Delhi,Feroz Shah Kotla,2014-05-03,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,KK Nair,1,Delhi Capitals,Rajasthan Royals,152,156
392220,2009,Kimberley,De Beers Diamond Oval,2009-05-11,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,53,DR Smith,1,Sunrisers Hyderabad,Rajasthan Royals,166,113
1426306,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024-05-18,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,27,F du Plessis,0,Royal Challengers Bengaluru,Chennai Super Kings,218,191
419122,2009/10,Mumbai,Brabourne Stadium,2010-03-22,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7,SR Tendulkar,0,Kolkata Knight Riders,Mumbai Indians,155,156
